res_id,res_dt,train_nr,reserved,bp_from,bp_to,dep_soll
186409,08.08.21 21:56,515,1,YV,ZUE,09.08.21 09:07
186410,09.08.21 07:42,515,1,GE,BI,09.08.21 08:15
186411,26.06.21 16:55,516,2,BI,GE,09.08.21 11:16
186412,07.08.21 17:17,516,1,ZUE,OL,09.08.21 10:04
186413,07.08.21 17:26,516,1,ZUE,OL,09.08.21 10:04
186414,09.08.21 08:19,516,1,ZUE,SO,09.08.21 10:04
186415,09.08.21 10:50,516,1,SO,BI,09.08.21 10:58
186416,08.08.21 11:31,516,2,ZUE,MOR,09.08.21 10:04
186417,09.08.21 08:20,516,1,ZUE,BI,09.08.21 10:04
186418,08.08.21 16:15,517,1,MOR,SG,09.08.21 09:42
186419,09.08.21 07:48,517,1,GE,ZUE,09.08.21 09:15
186420,09.08.21 10:50,517,1,AA,ZUE,09.08.21 11:31
186421,09.08.21 09:47,517,2,YV,SG,09.08.21 10:07
186422,09.08.21 11:14,517,1,OL,ZUE,09.08.21 11:20
186423,09.08.21 10:48,517,3,SO,ZUE,09.08.21 11:01
186424,09.08.21 11:15,517,1,OL,ZUE,09.08.21 11:20
186425,09.08.21 11:18,517,1,AA,ZUE,09.08.21 11:31
186426,16.07.21 10:18,518,2,ZUE,BI,09.08.21 11:04
186427,08.08.21 18:50,518,1,ZUE,YV,09.08.21 11:04
186428,07.08.21 10:17,518,2,ZUE,YV,09.08.21 11:04
186429,08.08.21 18:50,518,1,ZUE,YV,09.08.21 11:04
186430,31.07.21 09:39,519,2,GE,SO,09.08.21 10:15
186431,31.07.21 09:41,519,1,GE,SO,09.08.21 10:15
186432,09.08.21 10:52,519,1,SO,ZUE,09.08.21 12:01
186433,07.08.21 15:11,519,2,GE,YV,09.08.21 10:15
186434,09.08.21 10:05,519,1,GE,ZUE,09.08.21 10:15
186435,09.08.21 11:01,519,2,BI,ZUE,09.08.21 11:46
186436,07.08.21 10:24,520,2,ZUE,YV,09.08.21 12:04
186437,07.08.21 15:43,520,1,ZUE,GE,09.08.21 12:04
186438,07.08.21 15:43,520,1,ZUE,GE,09.08.21 12:04
186439,08.08.21 13:58,520,1,AA,SO,09.08.21 12:30
186440,09.08.21 12:01,520,1,OL,YV,09.08.21 12:41
186441,12.07.21 10:21,521,1,GE,OL,09.08.21 11:15
186442,25.07.21 09:52,521,1,GE,SG,09.08.21 11:15
186443,08.08.21 10:55,521,1,YV,OL,09.08.21 12:07
186444,08.08.21 10:55,521,1,YV,OL,09.08.21 12:07
186445,08.08.21 19:03,521,1,GE,ZUE,09.08.21 11:15
186446,09.08.21 10:25,521,1,GE,BI,09.08.21 11:15
186447,09.08.21 13:40,522,1,SO,BI,09.08.21 13:58
186448,08.08.21 22:29,523,2,GE,SO,09.08.21 12:15
186449,09.08.21 08:19,523,1,MOR,ZUE,09.08.21 12:42
186450,09.08.21 11:57,523,2,GE,BI,09.08.21 12:15
186451,09.08.21 10:33,524,1,OL,GE,09.08.21 14:41
186452,09.08.21 13:37,524,1,ZUE,BI,09.08.21 14:04
186453,09.08.21 14:08,524,1,AA,OL,09.08.21 14:30
186454,07.08.21 15:14,525,2,GE,NE,09.08.21 13:15
186455,08.08.21 20:11,525,1,MOR,SO,09.08.21 13:42
186456,09.08.21 12:59,525,1,GE,OL,09.08.21 13:15
186457,09.08.21 12:32,526,1,ZUE,SO,09.08.21 15:04
186458,09.08.21 16:52,526,1,MOR,GE,09.08.21 17:18
186459,08.08.21 18:08,527,1,BI,ZUE,09.08.21 15:46
186460,09.08.21 15:25,527,1,BI,AA,09.08.21 15:46
186461,09.08.21 15:35,527,1,BI,AA,09.08.21 15:46
186462,19.07.21 08:48,528,2,OL,GEAP,09.08.21 16:41
186463,09.08.21 15:43,528,1,ZUE,GE,09.08.21 16:04
186464,08.08.21 16:56,528,3,ZUE,YV,09.08.21 16:04
186465,09.08.21 15:44,528,1,ZUE,GE,09.08.21 16:04
186466,09.08.21 15:45,528,1,ZUE,GE,09.08.21 16:04
186467,09.08.21 15:46,528,1,ZUE,GE,09.08.21 16:04
186468,09.08.21 15:51,528,2,OL,SO,09.08.21 16:41
186469,09.08.21 17:09,528,1,NE,GE,09.08.21 17:34
186470,09.08.21 17:11,528,1,BI,NE,09.08.21 17:16
186471,07.07.21 17:23,529,2,GE,BI,09.08.21 15:15
186472,02.08.21 12:57,529,1,GE,BI,09.08.21 15:15
186473,09.08.21 11:21,529,1,ZUE,W,09.08.21 18:03
186474,09.08.21 12:38,529,1,BI,AA,09.08.21 16:46
186475,09.08.21 17:49,529,1,ZUE,W,09.08.21 18:03
186476,08.08.21 20:11,529,1,YV,AA,09.08.21 16:07
186477,09.08.21 16:01,529,1,YV,BI,09.08.21 16:07
186478,09.08.21 16:01,529,1,YV,BI,09.08.21 16:07
186479,09.08.21 16:06,529,1,YV,BI,09.08.21 16:07
186480,05.08.21 18:34,530,1,ZUE,BI,09.08.21 17:04
186481,09.08.21 15:57,530,1,OL,BI,09.08.21 17:41
186482,09.08.21 16:34,530,1,ZUE,MOR,09.08.21 17:04
186483,09.08.21 18:09,530,1,NE,YV,09.08.21 18:34
186484,09.08.21 16:54,530,1,OL,SO,09.08.21 17:41
186485,09.08.21 08:10,531,1,BI,ZUE,09.08.21 17:46
186486,09.08.21 08:11,531,1,BI,ZUE,09.08.21 17:46
186487,09.08.21 15:05,531,1,YV,AA,09.08.21 17:07
186488,09.08.21 16:32,531,1,YV,NE,09.08.21 17:07
186489,09.08.21 16:33,531,1,YV,NE,09.08.21 17:07
186490,09.08.21 16:55,531,1,YV,SO,09.08.21 17:07
186491,09.08.21 17:15,531,2,NE,ZUE,09.08.21 17:27
186492,09.08.21 17:15,532,2,ZUE,GE,09.08.21 18:04
186493,07.08.21 14:28,533,1,GE,NE,09.08.21 17:15
186494,09.08.21 16:08,533,2,GE,BI,09.08.21 17:15
186495,09.08.21 17:12,533,1,SO,OL,09.08.21 19:01
186496,09.08.21 18:32,533,1,BI,OL,09.08.21 18:46
186497,09.08.21 16:43,533,1,GE,SG,09.08.21 17:15
186498,09.08.21 18:11,534,1,OL,NE,09.08.21 19:41
186499,09.08.21 19:50,534,1,SO,MOR,09.08.21 19:58
186500,09.08.21 20:02,534,1,BI,MOR,09.08.21 20:16
186501,07.08.21 10:20,535,1,GE,ZUE,09.08.21 18:15
186502,07.08.21 10:22,535,1,GE,ZUE,09.08.21 18:15
186503,09.08.21 13:18,535,1,BI,ZUE,09.08.21 19:46
186504,09.08.21 18:12,535,1,GE,MOR,09.08.21 18:15
186505,09.08.21 17:39,535,1,GE,ZUE,09.08.21 18:15
186506,08.08.21 14:01,536,1,BI,MOR,09.08.21 21:16
186507,04.08.21 14:46,538,1,ZUE,SO,09.08.21 21:04
186508,30.07.21 10:47,539,1,GE,ZUE,09.08.21 20:15
186509,30.07.21 10:47,539,1,GE,ZUE,09.08.21 20:15
186510,09.08.21 20:04,539,1,GE,MOR,09.08.21 20:15
186511,09.08.21 17:00,539,2,GE,ZUE,09.08.21 20:15
186512,04.08.21 19:31,659,1,LZ,GD,09.08.21 06:19
186513,04.08.21 20:10,659,1,LZ,GD,09.08.21 06:19
186514,04.08.21 22:06,659,1,LZ,GD,09.08.21 06:19
186515,08.08.21 16:15,659,1,LZ,GD,09.08.21 06:19
186516,04.08.21 10:59,663,1,OL,LG,09.08.21 07:30
186517,04.08.21 18:38,663,1,LZ,BEL,09.08.21 08:19
186518,04.08.21 18:38,663,1,LZ,BEL,09.08.21 08:19
186519,05.08.21 17:56,663,1,OL,BEL,09.08.21 07:30
186520,08.08.21 17:53,663,1,GD,LG,09.08.21 08:49
186521,08.08.21 20:29,663,1,LZ,BEL,09.08.21 08:19
186522,08.08.21 22:23,663,1,OL,LG,09.08.21 07:30
186523,09.08.21 07:52,663,1,LZ,GD,09.08.21 08:19
186525,07.08.21 09:03,667,1,BS,BEL,09.08.21 09:03
186526,08.08.21 10:27,667,1,OL,LG,09.08.21 09:30
186527,08.08.21 16:52,667,1,BS,LZ,09.08.21 09:03
186528,08.08.21 16:55,667,1,BS,LZ,09.08.21 09:03
186529,08.08.21 22:18,667,1,LZ,BEL,09.08.21 10:19
186530,09.08.21 10:00,667,1,LZ,LG,09.08.21 10:19
186531,09.08.21 08:26,667,3,BS,GD,09.08.21 09:03
186532,28.06.21 12:28,668,2,LG,BS,09.08.21 08:02
186533,06.08.21 21:44,668,1,LG,GD,09.08.21 08:02
186534,09.08.21 07:16,668,1,LG,LZ,09.08.21 08:02
186535,22.06.21 19:59,675,2,LZ,BEL,09.08.21 14:19
186536,26.07.21 18:09,675,1,BS,BEL,09.08.21 13:03
186537,27.07.21 07:35,675,1,BS,OL,09.08.21 13:03
186538,06.08.21 21:52,675,1,GD,BEL,09.08.21 14:49
186539,08.08.21 10:55,675,1,OL,LZ,09.08.21 13:30
186540,08.08.21 10:55,675,1,OL,LZ,09.08.21 13:30
186541,19.07.21 08:48,680,2,LG,OL,09.08.21 14:02
186542,05.08.21 17:22,680,1,BEL,LZ,09.08.21 14:18
186543,06.08.21 12:21,680,1,BEL,LZ,09.08.21 14:18
186544,08.08.21 19:15,680,1,LG,GD,09.08.21 14:02
186545,09.08.21 10:18,680,1,LG,LZ,09.08.21 14:02
186546,29.07.21 14:23,683,2,BS,GD,09.08.21 17:03
186547,09.08.21 14:19,684,2,LG,LZ,09.08.21 16:02
186548,09.08.21 14:30,684,1,LG,LZ,09.08.21 16:02
186549,09.08.21 14:34,684,2,LG,BS,09.08.21 16:02
186550,08.08.21 20:39,684,2,BEL,GD,09.08.21 16:18
186551,09.08.21 17:11,684,1,GD,LZ,09.08.21 17:15
186552,09.08.21 11:21,684,1,BEL,GD,09.08.21 16:18
186553,09.08.21 13:51,684,1,BEL,GD,09.08.21 16:18
186554,09.08.21 14:52,684,2,BEL,GD,09.08.21 16:18
186555,09.08.21 14:52,684,2,BEL,GD,09.08.21 16:18
186556,09.08.21 14:12,684,1,LG,LZ,09.08.21 16:02
186557,09.08.21 14:12,684,1,LG,LZ,09.08.21 16:02
186558,09.08.21 13:08,688,2,BEL,GD,09.08.21 18:18
186559,09.08.21 17:41,688,1,LG,LZ,09.08.21 18:02
186560,09.08.21 18:05,688,2,BEL,LZ,09.08.21 18:18
186561,27.07.21 12:56,692,1,BEL,BS,09.08.21 20:18
186562,04.08.21 22:22,692,2,LG,GD,09.08.21 20:02
186563,09.08.21 09:07,692,1,LG,GD,09.08.21 20:02
186564,09.08.21 20:31,692,1,BEL,LZ,09.08.21 20:18
186565,05.08.21 20:43,861,1,ZUE,BEL,09.08.21 07:05
186566,06.08.21 11:35,861,1,ZUE,LG,09.08.21 07:05
186567,08.08.21 09:59,861,1,ZUE,BEL,09.08.21 07:05
186568,08.08.21 14:45,861,1,GD,BEL,09.08.21 07:49
186569,08.08.21 17:40,861,3,ZUE,GD,09.08.21 07:05
186570,09.08.21 08:56,865,1,ZG,BEL,09.08.21 09:30
186571,07.08.21 15:53,865,1,GD,BEL,09.08.21 09:49
186572,07.08.21 15:53,865,1,GD,BEL,09.08.21 09:49
186573,08.08.21 14:47,865,2,GD,BEL,09.08.21 09:49
186574,08.08.21 16:37,865,1,ZUE,BEL,09.08.21 09:05
186575,09.08.21 07:27,865,1,ZG,BEL,09.08.21 09:30
186576,08.08.21 22:38,866,1,BEL,ZG,09.08.21 07:18
186577,04.08.21 09:40,869,2,ZUE,LG,09.08.21 11:05
186578,06.08.21 10:56,869,1,GD,BEL,09.08.21 11:49
186579,04.08.21 11:50,869,2,GD,BEL,09.08.21 11:49
186580,08.08.21 12:26,869,1,ZUE,BEL,09.08.21 11:05
186581,08.08.21 18:17,870,2,LG,ZUE,09.08.21 09:02
186582,08.08.21 20:16,870,1,LG,ZUE,09.08.21 09:02
186583,09.08.21 07:24,870,1,BEL,ZUE,09.08.21 09:18
186584,09.08.21 08:46,870,1,BEL,ZUE,09.08.21 09:18
186585,11.07.21 17:58,873,1,ZUE,BEL,09.08.21 13:05
186586,11.07.21 17:58,873,1,ZUE,BEL,09.08.21 13:05
186587,06.08.21 21:54,873,1,GD,BEL,09.08.21 13:49
186588,03.08.21 13:24,873,2,ZG,BEL,09.08.21 13:30
186589,06.08.21 21:56,873,1,GD,BEL,09.08.21 13:49
186590,07.08.21 00:04,873,1,ZUE,LG,09.08.21 13:05
186591,07.08.21 00:05,873,1,ZUE,LG,09.08.21 13:05
186592,08.08.21 22:27,873,1,GD,BEL,09.08.21 13:49
186593,09.08.21 08:43,873,1,ZUE,LG,09.08.21 13:05
186594,09.08.21 12:42,873,1,ZG,BEL,09.08.21 13:30
186595,27.06.21 22:13,874,2,LG,ZUE,09.08.21 11:02
186596,05.08.21 15:33,874,1,LG,ZUE,09.08.21 11:02
186597,27.05.21 15:10,874,3,LG,ZUE,09.08.21 11:02
186598,23.07.21 16:26,878,2,BEL,ZUE,09.08.21 13:18
186599,09.08.21 09:51,878,1,BEL,ZUE,09.08.21 13:18
186600,09.08.21 10:58,878,1,BEL,ZUE,09.08.21 13:18
186601,09.08.21 11:13,878,2,BEL,ZUE,09.08.21 13:18
186602,09.08.21 12:09,878,1,GD,ZUE,09.08.21 14:15
186603,09.08.21 12:32,878,1,LG,GD,09.08.21 13:02
186604,09.08.21 12:32,878,1,LG,ZUE,09.08.21 13:02
186605,11.07.21 18:37,882,3,LG,ZUE,09.08.21 15:02
186606,09.08.21 10:20,882,1,LG,GD,09.08.21 15:02
186607,09.08.21 16:11,882,1,GD,ZUE,09.08.21 16:15
186608,08.08.21 14:23,882,2,BEL,ZUE,09.08.21 15:18
186609,09.08.21 10:20,882,1,LG,GD,09.08.21 15:02
186610,09.08.21 12:37,882,1,LG,ZUE,09.08.21 15:02
186611,09.08.21 07:56,885,1,GD,LG,09.08.21 19:49
186612,09.08.21 13:03,885,1,ZUE,LG,09.08.21 19:05
186613,21.07.21 16:08,886,3,BEL,ZUE,09.08.21 17:18
186614,24.07.21 21:07,886,2,LG,ZG,09.08.21 17:02
186615,04.08.21 19:23,886,1,BEL,GD,09.08.21 17:18
186616,09.08.21 16:25,886,1,GD,ZG,09.08.21 18:15
186617,09.08.21 16:18,886,1,BEL,GD,09.08.21 17:18
186618,09.08.21 17:09,886,1,GD,ZUE,09.08.21 18:15
186619,09.08.21 20:02,889,1,ZUE,GD,09.08.21 21:05
186620,04.08.21 14:46,890,1,LG,ZUE,09.08.21 19:02
186621,04.08.21 14:47,890,1,LG,ZUE,09.08.21 19:02
186622,09.08.21 17:28,890,1,BEL,GD,09.08.21 19:18
186623,09.08.21 17:46,890,1,BEL,GD,09.08.21 19:18
186624,07.08.21 12:51,894,1,BEL,ZUE,09.08.21 21:18
186625,09.08.21 20:57,894,1,LG,GD,09.08.21 21:02
186626,06.08.21 17:55,1506,1,BI,LS,09.08.21 06:45
186627,06.08.21 17:57,1506,1,BI,LS,09.08.21 06:45
186628,08.08.21 20:11,1506,1,YV,LS,09.08.21 07:22
186629,08.08.21 20:44,1506,1,OL,SO,09.08.21 06:02
186630,07.08.21 11:01,1506,3,BI,LS,09.08.21 06:45
186631,08.08.21 12:38,1507,1,OL,ZUE,09.08.21 05:59
186632,08.08.21 09:09,1508,1,ZUE,BI,09.08.21 06:30
186633,08.08.21 09:28,1508,1,ZUE,BI,09.08.21 06:30
186634,08.08.21 23:24,1508,1,ZUE,GS,09.08.21 06:30
186635,08.08.21 19:01,1509,1,SO,W,09.08.21 06:34
186636,04.08.21 22:22,1510,3,W,LS,09.08.21 07:03
186637,07.08.21 10:18,1510,2,OL,LS,09.08.21 08:02
186638,08.08.21 20:52,1510,1,NE,LS,09.08.21 09:03
186639,08.08.21 21:06,1510,1,ZUE,BI,09.08.21 07:30
186640,08.08.21 22:22,1510,1,W,LS,09.08.21 07:03
186641,09.08.21 07:10,1510,1,OL,GS,09.08.21 08:02
186642,09.08.21 07:12,1510,1,ZUE,BI,09.08.21 07:30
186643,09.08.21 07:21,1510,1,ZUE,BI,09.08.21 07:30
186644,09.08.21 07:43,1510,1,OL,OEN,09.08.21 08:02
186645,09.08.21 08:38,1510,1,SO,BI,09.08.21 08:26
186646,07.08.21 15:00,1511,1,OL,ZUE,09.08.21 07:59
186647,09.08.21 06:56,1511,1,BI,GS,09.08.21 07:17
186648,09.08.21 07:07,1511,1,BI,W,09.08.21 07:17
186649,09.08.21 07:23,1511,1,GS,OL,09.08.21 07:26
186650,09.08.21 08:15,1511,1,ZUE,SG,09.08.21 08:33
186651,29.07.21 15:50,1512,2,ZUE,YV,09.08.21 08:30
186652,07.08.21 11:21,1512,1,W,BI,09.08.21 08:03
186653,29.07.21 15:50,1512,2,ZUE,YV,09.08.21 08:30
186654,07.08.21 11:24,1512,1,W,BI,09.08.21 08:03
186655,05.08.21 10:30,1512,3,ZUE,LS,09.08.21 08:30
186656,07.08.21 16:56,1512,1,ZUE,OEN,09.08.21 08:30
186657,08.08.21 16:23,1512,1,ZUE,OL,09.08.21 08:30
186658,08.08.21 19:33,1512,1,ZUE,OL,09.08.21 08:30
186659,09.08.21 09:04,1512,1,OL,NE,09.08.21 09:02
186660,02.08.21 11:46,1513,1,SO,ZUE,09.08.21 08:35
186661,07.08.21 15:27,1513,1,NE,ZUE,09.08.21 07:59
186662,07.08.21 16:00,1513,1,NE,ZUE,09.08.21 07:59
186663,09.08.21 07:52,1513,1,NE,BI,09.08.21 07:59
186664,09.08.21 08:32,1513,1,W,SG,09.08.21 09:59
186665,09.08.21 08:07,1513,1,BI,ZUE,09.08.21 08:17
186666,09.08.21 08:08,1513,1,SO,OL,09.08.21 08:35
186667,06.08.21 13:22,1514,2,ZUE,OL,09.08.21 09:30
186668,07.08.21 12:14,1514,1,ZUE,BI,09.08.21 09:30
186669,09.08.21 09:58,1514,1,OL,GS,09.08.21 10:02
186670,07.08.21 12:15,1514,1,ZUE,BI,09.08.21 09:30
186671,07.08.21 12:15,1514,1,ZUE,BI,09.08.21 09:30
186672,07.08.21 12:15,1514,1,ZUE,BI,09.08.21 09:30
186673,02.08.21 11:28,1515,2,LS,YV,09.08.21 08:15
186674,08.08.21 20:22,1515,1,OL,ZUE,09.08.21 09:59
186675,09.08.21 08:19,1515,1,YV,ZUE,09.08.21 08:39
186676,09.08.21 08:49,1515,3,NE,ZUE,09.08.21 08:59
186677,08.08.21 14:06,1516,3,ZUE,BI,09.08.21 10:30
186678,09.08.21 08:12,1516,3,SG,BI,09.08.21 09:28
186679,04.08.21 16:08,1517,3,OL,SG,09.08.21 10:59
186680,04.08.21 18:35,1517,1,LS,BI,09.08.21 09:15
186681,04.08.21 18:44,1517,1,LS,BI,09.08.21 09:15
186682,09.08.21 08:12,1517,1,LS,YV,09.08.21 09:15
186683,04.08.21 16:13,1517,3,OL,SG,09.08.21 10:59
186684,09.08.21 09:47,1518,1,ZUE,YV,09.08.21 11:30
186685,09.08.21 11:05,1518,1,ZUE,GS,09.08.21 11:30
186686,09.08.21 11:05,1518,1,ZUE,GS,09.08.21 11:30
186687,09.08.21 11:06,1518,1,ZUE,GS,09.08.21 11:30
186688,09.08.21 11:06,1518,1,ZUE,GS,09.08.21 11:30
186689,06.08.21 16:39,1519,3,SO,OL,09.08.21 11:35
186690,08.08.21 18:40,1519,1,LS,YV,09.08.21 10:15
186691,08.08.21 20:44,1519,1,LS,YV,09.08.21 10:15
186692,08.08.21 20:46,1519,1,LS,YV,09.08.21 10:15
186693,07.08.21 08:14,1519,2,SO,ZUE,09.08.21 11:35
186694,08.08.21 20:47,1519,1,LS,YV,09.08.21 10:15
186695,09.08.21 09:01,1519,1,LS,SO,09.08.21 10:15
186696,09.08.21 09:41,1519,1,LS,NE,09.08.21 10:15
186697,09.08.21 10:20,1519,1,OEN,ZUE,09.08.21 11:46
186698,09.08.21 11:06,1520,1,SG,W,09.08.21 11:28
186699,09.08.21 12:00,1520,1,OL,YV,09.08.21 13:02
186700,09.08.21 12:02,1520,1,OL,YV,09.08.21 13:02
186701,09.08.21 13:26,1520,1,NE,LS,09.08.21 14:03
186702,07.08.21 22:34,1521,1,ZUE,SG,09.08.21 13:33
186703,09.08.21 09:00,1521,2,LS,NE,09.08.21 11:15
186704,09.08.21 10:21,1521,1,OEN,ZUE,09.08.21 12:46
186705,09.08.21 10:30,1521,1,ZUE,W,09.08.21 13:33
186706,09.08.21 11:16,1521,1,BI,OL,09.08.21 12:17
186707,09.08.21 12:51,1521,1,OL,ZUE,09.08.21 12:59
186708,09.08.21 10:23,1522,2,NE,LS,09.08.21 15:03
186709,09.08.21 12:40,1522,1,ZUE,BI,09.08.21 13:30
186710,09.08.21 12:10,1523,1,LS,NE,09.08.21 12:15
186711,02.08.21 11:23,1524,2,SG,LS,09.08.21 13:28
186712,09.08.21 11:18,1524,1,SG,NE,09.08.21 13:28
186713,09.08.21 11:18,1524,1,SG,BI,09.08.21 13:28
186714,09.08.21 11:24,1524,1,SG,BI,09.08.21 13:28
186715,09.08.21 14:07,1525,1,SO,ZUE,09.08.21 14:35
186716,09.08.21 15:23,1526,1,ZUE,BI,09.08.21 15:30
186717,09.08.21 16:44,1526,1,BI,NE,09.08.21 16:45
186718,08.08.21 11:18,1527,1,LS,BI,09.08.21 14:15
186719,09.08.21 15:13,1527,2,SO,ZUE,09.08.21 15:35
186720,09.08.21 15:28,1527,1,OL,ZUE,09.08.21 15:59
186721,09.08.21 15:34,1527,1,OL,ZUE,09.08.21 15:59
186722,09.08.21 15:40,1527,1,OL,ZUE,09.08.21 15:59
186723,08.08.21 18:04,1528,1,ZUE,OL,09.08.21 16:30
186724,09.08.21 14:23,1528,1,ZUE,LS,09.08.21 16:30
186725,09.08.21 16:02,1528,1,ZFH,LS,09.08.21 16:18
186726,09.08.21 17:19,1528,1,BI,YV,09.08.21 17:45
186727,09.08.21 18:08,1528,1,YV,LS,09.08.21 18:22
186728,09.08.21 16:14,1528,2,OL,SO,09.08.21 17:02
186729,09.08.21 18:01,1528,1,NE,LS,09.08.21 18:03
186730,09.08.21 18:09,1528,1,YV,LS,09.08.21 18:22
186731,08.08.21 20:15,1529,1,YV,OL,09.08.21 15:39
186732,08.08.21 20:15,1529,1,YV,OL,09.08.21 15:39
186733,08.08.21 22:05,1529,1,YV,OL,09.08.21 15:39
186734,09.08.21 15:59,1529,1,OL,ZUE,09.08.21 16:59
186735,08.08.21 22:05,1529,1,YV,OL,09.08.21 15:39
186736,09.08.21 15:00,1529,1,BI,W,09.08.21 16:17
186737,09.08.21 15:01,1529,1,BI,W,09.08.21 16:17
186738,09.08.21 15:51,1529,1,NE,BI,09.08.21 15:59
186739,09.08.21 16:33,1529,1,SO,OL,09.08.21 16:35
186740,08.08.21 15:46,1530,1,SG,W,09.08.21 16:28
186741,09.08.21 16:24,1530,1,SG,W,09.08.21 16:28
186742,09.08.21 18:43,1530,1,BI,NE,09.08.21 18:45
186743,09.08.21 18:17,1532,1,OL,BI,09.08.21 19:02
186744,09.08.21 18:18,1532,1,OL,BI,09.08.21 19:02
186745,09.08.21 19:11,1532,1,GS,BI,09.08.21 19:35
186746,09.08.21 19:50,1532,1,NE,LS,09.08.21 20:03
186747,23.07.21 17:18,1533,3,LS,SO,09.08.21 17:15
186748,09.08.21 19:27,1533,1,W,SG,09.08.21 19:59
186749,09.08.21 15:43,1533,1,BI,ZUE,09.08.21 18:17
186750,09.08.21 17:23,1533,2,NE,ZFH,09.08.21 17:59
186751,09.08.21 19:11,1535,1,GS,ZUE,09.08.21 19:26
186752,09.08.21 19:12,1535,1,GS,OL,09.08.21 19:26
186753,09.08.21 18:57,1536,2,ZUE,OL,09.08.21 20:30
186754,09.08.21 18:58,1536,1,W,SO,09.08.21 20:03
186755,09.08.21 18:05,1537,1,LS,OEN,09.08.21 19:15
186756,08.08.21 11:29,1538,1,OL,LS,09.08.21 22:02
186757,09.08.21 21:24,1538,1,ZUE,OL,09.08.21 21:30
186758,09.08.21 21:24,1538,1,ZUE,OL,09.08.21 21:30
186759,09.08.21 19:06,1541,1,LS,NE,09.08.21 21:15
186760,08.08.21 22:33,1547,1,LS,BI,10.08.21 00:20
186761,02.08.21 10:54,1606,2,DMT,YV,09.08.21 05:42
186762,08.08.21 11:00,1606,1,BI,NE,09.08.21 06:16
186763,08.08.21 21:38,1606,1,DMT,MOR,09.08.21 05:42
186764,08.08.21 20:17,1608,1,BS,GN,09.08.21 06:03
186765,09.08.21 07:54,1611,1,BI,GN,09.08.21 07:49
186766,05.08.21 09:19,1612,2,BS,BI,09.08.21 08:03
186767,08.08.21 11:00,1612,1,BS,BI,09.08.21 08:03
186768,07.08.21 13:52,1612,2,BS,BI,09.08.21 08:03
186769,09.08.21 07:35,1612,1,BS,BI,09.08.21 08:03
186770,21.07.21 15:16,1613,1,BI,BS,09.08.21 08:49
186771,26.06.21 17:15,1614,2,BS,BI,09.08.21 09:03
186772,08.08.21 16:06,1615,1,BI,DMT,09.08.21 09:49
186773,26.06.21 16:55,1616,2,BS,BI,09.08.21 10:03
186774,09.08.21 12:09,1620,1,BS,BI,09.08.21 12:03
186775,09.08.21 10:25,1621,1,BI,BS,09.08.21 12:49
186776,09.08.21 12:55,1622,1,DMT,BI,09.08.21 13:42
186777,09.08.21 12:55,1622,1,DMT,BI,09.08.21 13:42
